Aikaleima(dd-mm-YYYY HH:MM:SS);Opiskelija;Tehtävä
04-09-2020 12:24:12;Opiskelija_001;L01-T1
03-09-2020 10:42:10;Opiskelija_002;L01-T1
04-09-2020 12:18:05;Opiskelija_003;L01-T1
03-09-2020 14:26:51;Opiskelija_004;L01-T1
03-09-2020 19:07:31;Opiskelija_005;L01-T1
02-09-2020 14:56:44;Opiskelija_007;L01-T1
03-09-2020 17:25:02;Opiskelija_008;L01-T1
04-09-2020 16:54:17;Opiskelija_009;L01-T1
02-09-2020 15:10:01;Opiskelija_010;L01-T1
04-09-2020 11:54:00;Opiskelija_011;L01-T1
06-09-2020 01:08:25;Opiskelija_012;L01-T1
07-09-2020 18:43:25;Opiskelija_013;L01-T1
07-09-2020 16:01:00;Opiskelija_014;L01-T1
04-09-2020 16:40:03;Opiskelija_015;L01-T1
04-09-2020 17:35:27;Opiskelija_016;L01-T1
03-09-2020 15:14:03;Opiskelija_017;L01-T1
03-09-2020 16:13:25;Opiskelija_018;L01-T1
03-09-2020 14:58:37;Opiskelija_019;L01-T1
07-09-2020 14:15:00;Opiskelija_020;L01-T1
07-09-2020 18:37:41;Opiskelija_021;L01-T1
02-09-2020 15:25:41;Opiskelija_022;L01-T1
07-09-2020 22:33:11;Opiskelija_023;L01-T1
04-09-2020 16:15:06;Opiskelija_025;L01-T1
03-09-2020 13:14:22;Opiskelija_026;L01-T1
07-09-2020 22:40:08;Opiskelija_028;L01-T1
07-09-2020 11:52:45;Opiskelija_029;L01-T1
02-09-2020 16:26:13;Opiskelija_030;L01-T1
04-09-2020 15:51:50;Opiskelija_031;L01-T1
07-09-2020 16:33:18;Opiskelija_032;L01-T1
06-09-2020 21:56:06;Opiskelija_033;L01-T1
07-09-2020 19:11:42;Opiskelija_034;L01-T1
03-09-2020 20:06:29;Opiskelija_035;L01-T1
06-09-2020 14:24:45;Opiskelija_036;L01-T1
03-09-2020 19:18:48;Opiskelija_038;L01-T1
07-09-2020 20:23:02;Opiskelija_040;L01-T1
07-09-2020 07:25:16;Opiskelija_041;L01-T1
05-09-2020 13:50:56;Opiskelija_042;L01-T1
03-09-2020 12:23:51;Opiskelija_043;L01-T1
07-09-2020 23:49:50;Opiskelija_044;L01-T1
05-09-2020 10:09:04;Opiskelija_045;L01-T1
03-09-2020 20:41:25;Opiskelija_046;L01-T1
06-09-2020 16:32:02;Opiskelija_047;L01-T1
04-09-2020 12:21:59;Opiskelija_048;L01-T1
05-09-2020 20:49:02;Opiskelija_049;L01-T1
02-09-2020 18:35:12;Opiskelija_050;L01-T1
03-09-2020 12:22:22;Opiskelija_051;L01-T1
03-09-2020 09:58:26;Opiskelija_052;L01-T1
06-09-2020 16:31:40;Opiskelija_053;L01-T1
07-09-2020 08:11:47;Opiskelija_054;L01-T1
05-09-2020 11:08:57;Opiskelija_055;L01-T1
03-09-2020 11:48:51;Opiskelija_056;L01-T1
02-09-2020 19:22:21;Opiskelija_057;L01-T1
07-09-2020 21:05:15;Opiskelija_058;L01-T1
04-09-2020 15:27:50;Opiskelija_059;L01-T1
04-09-2020 10:13:05;Opiskelija_060;L01-T1
03-09-2020 15:04:28;Opiskelija_061;L01-T1
04-09-2020 14:37:51;Opiskelija_062;L01-T1
06-09-2020 16:58:34;Opiskelija_063;L01-T1
05-09-2020 10:43:39;Opiskelija_064;L01-T1
07-09-2020 22:43:40;Opiskelija_065;L01-T1
06-09-2020 01:02:55;Opiskelija_066;L01-T1
02-09-2020 15:50:26;Opiskelija_067;L01-T1
03-09-2020 15:01:05;Opiskelija_068;L01-T1
07-09-2020 13:00:03;Opiskelija_069;L01-T1
05-09-2020 11:30:58;Opiskelija_070;L01-T1
02-09-2020 19:18:13;Opiskelija_071;L01-T1
07-09-2020 14:44:58;Opiskelija_072;L01-T1
07-09-2020 18:08:03;Opiskelija_073;L01-T1
03-09-2020 13:14:20;Opiskelija_074;L01-T1
03-09-2020 16:15:33;Opiskelija_075;L01-T1
07-09-2020 18:48:59;Opiskelija_076;L01-T1
04-09-2020 18:09:32;Opiskelija_078;L01-T1
07-09-2020 21:57:44;Opiskelija_079;L01-T1
07-09-2020 13:35:03;Opiskelija_080;L01-T1
04-09-2020 14:36:26;Opiskelija_081;L01-T1
07-09-2020 20:56:58;Opiskelija_082;L01-T1
07-09-2020 12:23:06;Opiskelija_083;L01-T1
03-09-2020 16:24:06;Opiskelija_084;L01-T1
03-09-2020 17:24:15;Opiskelija_085;L01-T1
07-09-2020 19:50:10;Opiskelija_086;L01-T1
04-09-2020 19:33:00;Opiskelija_087;L01-T1
07-09-2020 13:23:26;Opiskelija_088;L01-T1
04-09-2020 15:00:57;Opiskelija_089;L01-T1
02-09-2020 16:24:21;Opiskelija_090;L01-T1
07-09-2020 10:34:35;Opiskelija_091;L01-T1
07-09-2020 16:01:00;Opiskelija_092;L01-T1
05-09-2020 18:04:58;Opiskelija_093;L01-T1
07-09-2020 21:41:45;Opiskelija_094;L01-T1
04-09-2020 15:31:49;Opiskelija_095;L01-T1
05-09-2020 16:36:15;Opiskelija_096;L01-T1
03-09-2020 11:52:10;Opiskelija_097;L01-T1
05-09-2020 13:57:44;Opiskelija_098;L01-T1
03-09-2020 15:27:18;Opiskelija_099;L01-T1
04-09-2020 16:46:34;Opiskelija_100;L01-T1
07-09-2020 18:20:42;Opiskelija_102;L01-T1
05-09-2020 13:17:07;Opiskelija_103;L01-T1
03-09-2020 10:11:49;Opiskelija_104;L01-T1
04-09-2020 18:29:47;Opiskelija_106;L01-T1
06-09-2020 13:14:52;Opiskelija_107;L01-T1
07-09-2020 01:24:58;Opiskelija_108;L01-T1
05-09-2020 13:38:41;Opiskelija_109;L01-T1
06-09-2020 23:53:22;Opiskelija_110;L01-T1
07-09-2020 16:41:24;Opiskelija_111;L01-T1
06-09-2020 13:48:03;Opiskelija_112;L01-T1
05-09-2020 15:48:03;Opiskelija_113;L01-T1
03-09-2020 22:34:19;Opiskelija_115;L01-T1
06-09-2020 16:15:56;Opiskelija_116;L01-T1
03-09-2020 14:30:28;Opiskelija_117;L01-T1
02-09-2020 15:12:21;Opiskelija_118;L01-T1
04-09-2020 12:29:05;Opiskelija_120;L01-T1
04-09-2020 14:06:29;Opiskelija_121;L01-T1
03-09-2020 18:26:28;Opiskelija_122;L01-T1
08-09-2020 01:19:16;Opiskelija_123;L01-T1
07-09-2020 16:55:40;Opiskelija_124;L01-T1
03-09-2020 11:29:32;Opiskelija_126;L01-T1
06-09-2020 17:28:05;Opiskelija_127;L01-T1
07-09-2020 22:28:24;Opiskelija_128;L01-T1
04-09-2020 13:24:03;Opiskelija_129;L01-T1
03-09-2020 14:14:31;Opiskelija_130;L01-T1
08-09-2020 00:05:55;Opiskelija_131;L01-T1
04-09-2020 10:09:06;Opiskelija_132;L01-T1
04-09-2020 14:28:44;Opiskelija_133;L01-T1
07-09-2020 14:34:00;Opiskelija_134;L01-T1
